菜单名称,原料,制作方法,价格,麻辣度,评价
宫保鸡丁,"鸡胸肉, 花生, 干辣椒, 酱油, 蒜, 姜","鸡肉切块，腌制10分钟，炒熟后加入配料炒匀。",25,3,"麻辣适中，口感丰富"
麻婆豆腐,"豆腐, 牛肉末, 辣椒酱, 豆瓣酱, 蒜, 姜","豆腐切块焯水，牛肉末炒熟，加入豆瓣酱和辣椒酱，放入豆腐煮10分钟。",18,5,"非常麻辣，适合重口味"
红烧肉,"五花肉, 生抽, 老抽, 冰糖, 葱, 姜","五花肉切块，焯水后煮沸，加入调料慢炖1小时。",30,2,"酱香浓郁，肥而不腻"
酸辣土豆丝,"土豆, 青椒, 红辣椒, 醋, 酱油","土豆切丝焯水，热油爆香辣椒，加入土豆丝翻炒，最后加醋和酱油。",15,4,"酸辣开胃，口感脆嫩"
鱼香茄子,"茄子, 猪肉末, 辣椒酱, 酱油, 蒜, 姜","茄子切块炸至金黄，猪肉末炒熟，加入调料和茄子翻炒均匀。",22,4,"味道浓郁，茄子软嫩"
蒜蓉粉丝蒸扇贝,"扇贝, 粉丝, 蒜, 酱油, 料酒","扇贝洗净，粉丝泡软，铺在蒜蓉和酱油料酒混合料上蒸10分钟。",35,1,"鲜美可口，蒜香浓郁"
回锅肉,"五花肉, 青椒, 红辣椒, 豆瓣酱, 蒜, 姜","五花肉煮熟切片，热锅爆炒青椒和红辣椒，再加入五花肉和豆瓣酱炒匀。",28,3,"香辣适口，肉质鲜嫩"
干煸四季豆,"四季豆, 干辣椒, 蒜, 姜","四季豆焯水，热油炒干辣椒和四季豆至干香。",20,4,"干香麻辣，口感独特"
香辣虾,"虾, 干辣椒, 花椒, 蒜, 姜","虾去壳，炒干辣椒和花椒，加入虾炒至变红。",38,5,"香辣过瘾，虾肉鲜美"
水煮牛肉,"牛肉, 辣椒, 花椒, 豆瓣酱, 豆芽","牛肉切片焯水，热锅炒辣椒和花椒，加入牛肉和豆瓣酱煮熟，最后加豆芽煮1分钟。",40,5,"麻辣鲜香，牛肉嫩滑"